pitch,energy,zero_crossings,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,lang
-1.29E-07,0.04586868,79049,-377.4814,137.37457,3.880424,23.817427,17.852528,-2.504249,-5.918235,-19.810349,-11.077933,-5.138934,-12.041867,-6.9525843,1.0742364,russian
-3.73E-07,0.047056574,53399,-381.6547,141.0927,6.7728424,21.458832,24.247179,4.8135643,3.4092317,-13.355297,-14.746986,-4.6842957,-10.52035,-13.053085,-6.8741393,russian
-3.32E-07,0.033516478,71917,-370.4316,165.03954,-17.461525,19.05136,14.102123,-12.344275,5.654194,-11.874184,-13.07614,-0.18297389,-12.317037,-8.938899,-4.970787,russian
-5.74E-07,0.031992815,68132,-368.22055,160.9418,-22.451162,21.643785,4.48326,-13.995655,1.9938821,-18.748825,-7.8579264,-3.564335,-14.750853,-3.9229047,-4.640317,russian
-9.73E-07,0.03030326,46033,-384.26312,171.78622,-21.055817,21.891993,13.597997,-13.737896,7.6063504,-13.117674,-13.234539,0.6450932,-13.629427,-8.265565,-4.712253,russian
-6.95E-07,0.03484591,73265,-395.48886,155.744,-4.6043344,-5.0115743,14.989692,1.9850854,-1.5749712,-6.1794767,-3.822966,-4.9726768,-16.314398,-10.299434,-5.071042,russian
-6.19E-07,0.033266082,73451,-393.1698,150.05894,-12.222519,-2.5956254,13.171961,-2.4732926,-5.612234,-9.237209,-6.8200445,-13.355434,-17.144085,-5.0500903,-7.0553584,russian
-1.02E-06,0.03317632,50296,-398.03445,155.57721,-5.864879,-3.662893,15.273006,1.352368,-0.8254789,-5.905639,-4.181758,-5.0667915,-16.368929,-9.901693,-4.7449403,russian
-8.19E-08,0.03405607,65452,-356.71878,152.98322,-19.352882,0.92225087,21.407026,-14.427678,-12.708208,-3.7105134,-12.968115,-14.955922,-7.672967,-1.6797085,-6.0571265,russian
-6.30E-08,0.032542486,65658,-354.80734,146.58528,-26.148819,4.742084,12.656165,-23.264112,-11.660897,-7.4573555,-16.339752,-10.54191,-2.0444317,-2.9588969,-8.12636,russian
-2.24E-07,0.031526305,44413,-376.31168,168.12256,-28.618477,4.1345634,24.10864,-17.590866,-10.906324,-3.7448332,-14.314869,-14.273537,-8.476873,-1.3726274,-5.3976398,russian
0.000138459,0.0618998,54623,-285.01263,144.03957,-17.273857,48.38374,9.618942,22.333311,-6.4884505,8.687866,6.162554,-12.31076,-2.686438,9.910505,-10.62656,russian
6.98E-05,0.05915895,55485,-289.50427,148.89792,-22.356749,55.30875,3.4483054,17.415379,-7.4429617,5.933936,2.6104753,-17.582636,14.863962,-2.6944895,-1.4101652,russian
-5.30E-06,0.05872558,38783,-291.22446,148.77731,-22.735302,52.698586,7.049032,23.305258,-7.129747,7.0452623,7.9690857,-13.275603,-1.9383998,10.100808,-10.809566,russian
-0.000146994,0.13465965,32944,-257.0156,177.90836,-0.3786608,4.0187297,9.12898,22.008623,20.185684,-8.046157,-6.773376,15.027353,2.719904,0.08282139,2.422687,russian
-0.000132691,0.128494,33105,-255.73901,178.33405,-10.925008,8.79872,11.539803,23.955593,10.160236,-14.964835,6.2504954,14.421947,-2.3679242,1.3556117,4.748769,russian
-0.000141391,0.12596318,22494,-261.78552,182.91977,-5.0705905,6.402048,7.2229877,21.272675,20.281336,-8.393821,-6.5226274,15.325433,1.8989233,0.04959658,3.0609202,russian
-6.15E-05,0.054781444,114807,-304.01993,125.04674,-30.174124,49.51174,-0.5018991,15.290751,-2.417301,-6.5292425,4.40554,-18.279366,5.6668444,-9.373321,-2.7059495,russian
-6.95E-05,0.05364599,72562,-308.96948,132.48003,-30.995867,45.90702,6.9951835,14.097083,7.877984,-9.074327,11.257841,-15.36576,-1.3670309,-1.4333982,-12.079584,russian
-2.97E-06,0.057363313,126457,-303.61105,117.8265,4.835916,40.59018,0.7471836,16.75494,-10.130337,1.7261171,-7.605741,-9.775957,-3.2959747,5.8041396,-2.0608468,russian
-1.07E-05,0.065813966,69091,-267.03003,101.35697,0.73157316,33.158985,-2.1063678,21.856813,-4.7464604,17.355314,-6.840396,10.22728,-6.3745165,-1.8154191,-0.23367989,russian
2.29E-05,0.06295113,66239,-276.83786,110.47868,-9.068448,39.68795,-7.425279,24.059772,-6.6954775,15.176008,-8.400176,6.922785,-8.203638,-0.5627257,5.1148515,russian
-0.000289007,0.06078666,46187,-274.9386,106.86345,-5.090702,38.846508,-6.4093122,24.786179,-7.4997363,18.522501,-7.818382,10.784981,-6.52871,-2.7919025,1.2721243,russian
-1.44E-07,0.04222903,61487,-329.41275,146.20949,4.0376997,35.2697,23.306356,-1.43443,11.417946,-4.2105184,-6.398616,-1.0513896,-7.0711684,-0.4623563,-3.8400352,russian
-1.05E-07,0.040294744,61727,-329.0085,146.93083,2.0668437,38.311035,14.026897,-3.886148,7.521332,-11.080551,-4.204088,-2.6877184,-5.5607176,0.52182686,-5.332249,russian
-2.27E-07,0.040371932,42073,-334.30698,146.53864,3.988849,35.694218,22.727173,-1.7598614,11.553462,-4.5750775,-6.5128503,-1.3360617,-7.4283533,-0.28959733,-3.9524522,russian
0.000116942,0.06591973,58754,-397.27493,120.79028,-0.5664278,38.10616,24.939638,6.586898,5.4873333,6.9291625,-1.0710315,-7.8222675,-0.14572044,-4.104651,3.7896364,russian
0.000111389,0.06310533,58496,-396.4928,120.759056,-0.5757306,41.194195,18.15376,2.1183205,3.835778,2.3850348,-7.4139433,-5.2325106,1.8133358,-2.7647796,4.5229144,russian
0.000176852,0.05954646,36917,-400.97058,125.011215,2.1464205,38.92427,24.421103,5.754332,5.3186765,6.6672287,-1.0217986,-8.102417,-0.30680943,-4.86816,3.1157537,russian
-1.04E-05,0.05163118,81567,-355.83615,129.6794,9.5606165,35.80653,3.9009004,12.179089,-5.266115,6.3055964,-4.869025,8.312549,1.3075953,0.5361843,-3.1348522,russian
-1.03E-05,0.04935421,74349,-358.62933,135.42717,3.4397717,36.582462,-1.7894195,9.257281,-4.7766447,4.923995,-0.5355682,6.7927284,-1.4675157,-2.6708932,1.6682055,russian
5.48E-05,0.04755146,55966,-361.95923,133.90756,5.0089707,40.552475,0.91648746,14.348657,-7.7386775,6.6457143,-5.4186616,8.358965,1.499391,-0.5787636,-2.757963,russian
2.21E-06,0.025539909,133974,-402.35052,124.00568,-19.040592,38.03419,25.73555,-7.62046,13.467498,-3.4637234,-2.7926066,9.970258,-5.4944944,4.1363373,5.4056864,russian
4.85E-06,0.02440916,132520,-405.76962,125.41345,-21.353964,45.053356,15.229342,-9.187798,13.463767,-8.133505,4.625668,6.6174345,-6.862313,7.074625,-5.6974473,russian
7.49E-06,0.024356347,89420,-403.10632,122.14661,-18.859564,38.36288,26.13317,-7.792242,13.185552,-3.4321322,-3.4428737,9.322107,-5.8496437,3.632973,5.4241605,russian
8.74E-06,0.070090845,115557,-341.84146,109.25295,16.525286,47.332973,22.054117,27.903286,-3.0351248,-13.12373,-20.384438,-3.99151,1.7080455,-4.226588,-8.2407255,russian
7.76E-06,0.06711729,115265,-343.3959,113.65729,17.271181,49.722443,16.32195,16.95985,-18.035137,-19.468721,-12.02197,4.3750753,0.7954969,-10.494648,-2.04286,russian
6.10E-06,0.06550134,82997,-344.31406,110.3533,13.693969,49.361214,20.124577,29.239141,-4.2915444,-14.62389,-20.90345,-3.6640446,2.639319,-5.170986,-7.339111,russian
1.39E-05,0.097064346,119615,-304.02615,103.89055,16.08859,27.230665,12.574052,18.202524,-12.158289,-10.34359,-22.33817,-10.829638,-1.881466,-3.1571605,-5.00677,russian
1.24E-05,0.09262453,113957,-309.33005,110.908516,11.190481,28.365238,7.566529,7.083626,-23.541208,-14.88964,-18.779139,0.45644072,1.9448998,-4.8065276,-0.8868942,russian
2.04E-06,0.09188699,81681,-306.15723,105.487755,13.310553,28.635824,11.814504,18.31575,-13.259144,-10.844148,-23.576727,-10.123865,-1.7546356,-3.3715668,-4.506475,russian
-3.45E-05,0.08763302,102276,-282.02487,119.292595,-20.82073,24.838902,-7.3724656,9.884885,-5.0256042,-6.7529984,-6.27928,-10.04249,-3.6448252,-15.76399,-15.06202,russian
-3.50E-05,0.08434487,100350,-283.90778,115.428116,-23.5884,24.51623,-11.300296,8.858733,-11.8905115,-9.280113,-9.903666,-11.887077,-8.690456,-20.603807,-3.4952002,russian
-3.26E-05,0.081029974,67134,-287.05698,120.725044,-20.599234,25.77113,-7.4415984,10.067446,-4.328239,-7.375832,-4.7777877,-10.502776,-3.3389134,-16.34878,-14.891412,russian
4.08E-07,0.048369836,47491,-340.65546,139.40474,2.3089037,24.69315,22.764431,-5.487392,-3.2912207,-16.391764,-15.808033,1.2199314,-1.223455,-6.3866663,-4.779056,russian
5.10E-07,0.04622975,47779,-342.50897,141.55984,-2.8815296,27.144844,12.335193,-14.205107,-8.612306,-19.483562,-5.7961197,5.17127,-6.4106765,-7.474945,-3.6511037,russian
4.52E-07,0.046098292,32273,-345.29868,140.95197,1.9813668,25.866024,22.841738,-6.0363007,-3.7089462,-17.652454,-16.189793,1.3580177,-1.7569948,-6.628151,-4.9644647,russian
-5.92E-05,0.040782917,109751,-308.71555,92.233894,-19.918531,41.90353,4.5084004,23.779892,-5.764899,11.755737,-1.4387091,8.282078,-1.0397632,7.76969,-7.910767,russian
-6.66E-05,0.03932299,102597,-320.36713,101.60055,-29.215836,53.87558,-4.1547813,25.234015,-9.259576,11.370627,2.1780136,1.9823129,5.6779804,-3.8259943,3.6139934,russian
-0.000191749,0.036947746,74763,-319.36954,96.67632,-24.968182,48.2248,-0.23724782,27.942781,-7.9329996,12.833233,-2.0504942,7.698462,0.066592686,5.8729005,-5.985554,russian
-2.82E-06,0.054946743,123445,-308.01733,123.03329,-0.5690751,42.676445,-7.251094,12.911523,-15.615686,0.019195182,-8.215633,-7.5140824,7.7942595,-1.3152004,-3.3872826,russian
7.70E-07,0.0538185,88451,-306.82718,118.72139,1.2213577,44.305473,-1.1664321,18.123495,-10.612863,0.8817129,-6.8962345,-11.459591,-2.1928148,4.625163,-0.7847558,russian
2.63E-06,0.038193166,112649,-311.10178,125.44448,-14.860231,30.4958,-10.6797495,1.0297077,-13.989886,-2.2214243,-20.119917,7.5342765,-9.571649,-9.597026,-1.1395094,russian
1.51E-05,0.046600007,70731,-371.92993,137.47493,-4.5879927,17.578615,33.741695,-0.07798052,5.8451295,12.71563,1.5649508,3.561672,-0.47891375,-5.0809216,1.9882698,russian
6.50E-06,0.04446974,63201,-371.77594,135.29147,-8.295929,24.168064,29.250072,-4.1729226,9.791747,8.770367,-2.2912676,1.728672,-3.7792685,-0.8370307,5.4304757,russian
-1.30E-05,0.045404535,45009,-387.43286,159.05826,-13.108851,18.7729,37.653046,-4.5867143,4.8348255,12.485043,-0.9789068,4.356671,-0.705561,-7.225846,1.9197419,russian
